"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31130","functionality of links","Tablet-768-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-tectos-falsos/kooltherm-k10 stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","36","seo compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-paredes/kooltherm-k8 > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","827","visual compare","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-paredes > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","39","seo compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-paredes/poliuretanos-pir-af > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","14173","functionality of links","Tablet-768-Chrome","2026-03-30","failed","2026-03-30","URL: /fr/fr/divisions/kingspaninsulation stage only Health Check > lang: fr-fr","","",""
"","27","seo compare","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/contacto-kingspan/kingspan-light-air > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","38","seo compare","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-coberturas/poliuretanos-pir-cp-bl > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","528","visual compare","Tablet-768-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/applications/sol > lang: fr-fr","","",""
"","52","seo compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/divisions/kingspaninsulation/u-value-calculator-engagements-de-kingspan-direct-marketing > lang: fr-fr","","",""
"","34","seo compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/sobre-nos/planetpassionate > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","8898","functionality of links","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/applications/facade stage only Health Check > lang: fr-fr","","",""
